year	iso	inflation_reinhard_rogoff	inflation_frankema_waijenburg
1927	"UGA"		-1.14
1928	"UGA"		0.17
1929	"UGA"		1.0
1930	"UGA"		47.47
1931	"UGA"		-57.55
1932	"UGA"		-20.19
1933	"UGA"		-9.09
1934	"UGA"		-22.43
1935	"UGA"		42.48
1936	"UGA"		5.07
1937	"UGA"		1.53
1938	"UGA"		125.3
1939	"UGA"		0.4
1940	"UGA"		30.36
1941	"UGA"		23.29
1942	"UGA"		-26.83
1943	"UGA"		0.68
1944	"UGA"		0.41
1945	"UGA"		-21.8
1946	"UGA"		
1947	"UGA"		
1948	"UGA"		
1949	"UGA"		
1950	"UGA"		6.67
1951	"UGA"		12.5
1952	"UGA"		0.0
1953	"UGA"		72.53
1954	"UGA"		-15.92
1955	"UGA"		-17.42
1956	"UGA"		-1.83
1957	"UGA"		-6.54
1958	"UGA"		2.0
1959	"UGA"		0.0
1960	"UGA"		
1961	"UGA"		
1962	"UGA"		
1963	"UGA"		
1964	"UGA"		
1965	"UGA"		
1966	"UGA"		
1967	"UGA"		
1968	"UGA"		
1969	"UGA"		
1970	"UGA"		
1971	"UGA"		
1972	"UGA"		
1973	"UGA"		
1974	"UGA"		
1975	"UGA"		
1976	"UGA"		
1977	"UGA"		
1978	"UGA"		
1979	"UGA"		
1980	"UGA"		
1981	"UGA"		
1982	"UGA"		
1983	"UGA"		
1984	"UGA"		
1985	"UGA"		
1986	"UGA"		
1987	"UGA"		
1988	"UGA"		
1989	"UGA"		
1990	"UGA"		
1991	"UGA"		
1992	"UGA"		
1993	"UGA"		
1994	"UGA"		
1995	"UGA"		
1996	"UGA"		
1997	"UGA"		
1998	"UGA"		
1999	"UGA"		
2000	"UGA"		
2001	"UGA"		
2002	"UGA"		
2003	"UGA"		
2004	"UGA"		
2005	"UGA"		
2006	"UGA"		
2007	"UGA"		
2008	"UGA"		
2009	"UGA"		
2010	"UGA"		
2011	"UGA"		
2012	"UGA"		
2013	"UGA"		
2014	"UGA"		
2015	"UGA"		
1890	"BEL"	3.4	
1891	"BEL"	0.0	
1892	"BEL"	-3.3	
1893	"BEL"	-3.4	
1894	"BEL"	-2.4	
1895	"BEL"	-2.4	
1896	"BEL"	-3.7	
1897	"BEL"	1.3	
1898	"BEL"	0.0	
1899	"BEL"	1.3	
1900	"BEL"	12.7	
1901	"BEL"	2.2	
1902	"BEL"	-2.2	
1903	"BEL"	0.0	
1904	"BEL"	-12.4	
1905	"BEL"	2.6	
1906	"BEL"	10.0	
1907	"BEL"	2.3	
1908	"BEL"	1.1	
1909	"BEL"	-1.1	
1910	"BEL"	2.2	
1911	"BEL"	6.5	
1912	"BEL"	7.1	
1913	"BEL"	-4.8	
1914	"BEL"	2.0	
1915	"BEL"	29.5	
1916	"BEL"	29.5	
1917	"BEL"	29.5	
1918	"BEL"	29.5	
1919	"BEL"	29.5	
1920	"BEL"	29.5	
1921	"BEL"	-11.5	
1922	"BEL"	-6.5	
1923	"BEL"	14.0	
1924	"BEL"	16.3	
1925	"BEL"	3.5	
1926	"BEL"	20.3	
1927	"BEL"	26.8	
1928	"BEL"	4.4	
1929	"BEL"	6.4	
1930	"BEL"	0.0	
1931	"BEL"	-9.0	
1932	"BEL"	-9.9	
1933	"BEL"	-1.2	
1934	"BEL"	-6.2	
1935	"BEL"	-1.3	
1936	"BEL"	4.0	
1937	"BEL"	7.7	
1938	"BEL"	3.6	
1939	"BEL"	1.1	
1940	"BEL"	11.4	
1941	"BEL"	18.4	
1942	"BEL"	18.4	
1943	"BEL"	18.4	
1944	"BEL"	18.4	
1945	"BEL"	18.4	
1946	"BEL"	18.4	
1947	"BEL"	9.4	
1948	"BEL"	8.6	
1949	"BEL"	-5.1	
1950	"BEL"	2.7	
1951	"BEL"	9.2	
1952	"BEL"	-0.9	
1953	"BEL"	0.0	
1954	"BEL"	0.9	
1955	"BEL"	1.5	
1956	"BEL"	3.3	
1957	"BEL"	2.9	
1958	"BEL"	0.2	
1959	"BEL"	1.6	
1960	"BEL"	-0.2	
1961	"BEL"	1.0	
1962	"BEL"	1.2	
1963	"BEL"	4.2	
1964	"BEL"	4.0	
1965	"BEL"	4.1	
1966	"BEL"	3.2	
1967	"BEL"	3.4	
1968	"BEL"	2.5	
1969	"BEL"	4.4	
1970	"BEL"	3.1	
1971	"BEL"	5.6	
1972	"BEL"	6.4	
1973	"BEL"	7.3	
1974	"BEL"	15.7	
1975	"BEL"	11.0	
1976	"BEL"	7.6	
1977	"BEL"	6.3	
1978	"BEL"	3.9	
1979	"BEL"	5.1	
1980	"BEL"	6.7	
1981	"BEL"	7.6	
1982	"BEL"	8.7	
1983	"BEL"	7.7	
1984	"BEL"	6.3	
1985	"BEL"	4.9	
1986	"BEL"	1.3	
1987	"BEL"	1.6	
1988	"BEL"	1.2	
1989	"BEL"	3.1	
1990	"BEL"	3.5	
1991	"BEL"	3.2	
1992	"BEL"	2.3	
1993	"BEL"	2.5	
1994	"BEL"	2.4	
1995	"BEL"	1.3	
1996	"BEL"	1.8	
1997	"BEL"	1.5	
1998	"BEL"	0.9	
1999	"BEL"	1.1	
2000	"BEL"	2.7	
2001	"BEL"	2.4	
2002	"BEL"	1.6	
2003	"BEL"	1.5	
2004	"BEL"	1.9	
2005	"BEL"	2.5	
2006	"BEL"	2.3	
2007	"BEL"	1.8	
2008	"BEL"	4.5	
2009	"BEL"	0.0	
2010	"BEL"	2.3	
2011	"BEL"	3.4	
2012	"BEL"	2.6	
2013	"BEL"	1.2	
2014	"BEL"	0.7	
2015	"BEL"		
1890	"DEU"	2.7	
1891	"DEU"	2.7	
1892	"DEU"	-1.3	
1893	"DEU"	-1.3	
1894	"DEU"	-1.3	
1895	"DEU"	-1.4	
1896	"DEU"	-1.4	
1897	"DEU"	2.8	
1898	"DEU"	2.7	
1899	"DEU"	0.0	
1900	"DEU"	1.3	
1901	"DEU"	1.3	
1902	"DEU"	0.0	
1903	"DEU"	0.0	
1904	"DEU"	1.3	
1905	"DEU"	3.8	
1906	"DEU"	6.1	
1907	"DEU"	1.1	
1908	"DEU"	0.0	
1909	"DEU"	2.3	
1910	"DEU"	2.2	
1911	"DEU"	3.3	
1912	"DEU"	5.3	
1913	"DEU"	0.0	
1914	"DEU"	3.0	
1915	"DEU"	25.4	
1916	"DEU"	31.0	
1917	"DEU"	49.1	
1918	"DEU"	19.5	
1919	"DEU"	37.2	
1920	"DEU"	145.7	
1921	"DEU"	1.4	
1922	"DEU"	1357.6	
1923	"DEU"	1.05713697E11	
1924	"DEU"	18.1	
1925	"DEU"	9.6	
1926	"DEU"	1.1	
1927	"DEU"	4.3	
1928	"DEU"	3.1	
1929	"DEU"	1.0	
1930	"DEU"	-4.0	
1931	"DEU"	-8.3	
1932	"DEU"	-11.4	
1933	"DEU"	-1.3	
1934	"DEU"	2.6	
1935	"DEU"	1.3	
1936	"DEU"	1.3	
1937	"DEU"	0.0	
1938	"DEU"	1.2	
1939	"DEU"	0.0	
1940	"DEU"	3.7	
1941	"DEU"	2.4	
1942	"DEU"	2.3	
1943	"DEU"	1.1	
1944	"DEU"	2.2	
1945	"DEU"	4.7	
1946	"DEU"	10.3	
1947	"DEU"	6.7	
1948	"DEU"	15.0	
1949	"DEU"	7.6	
1950	"DEU"	-7.1	
1951	"DEU"	8.7	
1952	"DEU"	2.0	
1953	"DEU"	-2.0	
1954	"DEU"	0.0	
1955	"DEU"	2.0	
1956	"DEU"	7.8	
1957	"DEU"	-2.7	
1958	"DEU"	1.9	
1959	"DEU"	0.9	
1960	"DEU"	1.8	
1961	"DEU"	1.8	
1962	"DEU"	3.5	
1963	"DEU"	2.5	
1964	"DEU"	2.5	
1965	"DEU"	0.0	
1966	"DEU"	4.5	
1967	"DEU"	0.0	
1968	"DEU"	2.2	
1969	"DEU"	3.2	
1970	"DEU"	3.1	
1971	"DEU"	5.0	
1972	"DEU"	5.7	
1973	"DEU"	7.2	
1974	"DEU"	6.7	
1975	"DEU"	6.3	
1976	"DEU"	3.7	
1977	"DEU"	4.3	
1978	"DEU"	2.7	
1979	"DEU"	4.0	
1980	"DEU"	5.4	
1981	"DEU"	6.3	
1982	"DEU"	5.3	
1983	"DEU"	3.3	
1984	"DEU"	2.4	
1985	"DEU"	2.1	
1986	"DEU"	-0.1	
1987	"DEU"	0.2	
1988	"DEU"	1.3	
1989	"DEU"	2.8	
1990	"DEU"	2.7	
1991	"DEU"	3.5	
1992	"DEU"	5.0	
1993	"DEU"	4.5	
1994	"DEU"	2.7	
1995	"DEU"	1.7	
1996	"DEU"	1.2	
1997	"DEU"	1.5	
1998	"DEU"	0.6	
1999	"DEU"	0.6	
2000	"DEU"	1.4	
2001	"DEU"	1.9	
2002	"DEU"	1.3	
2003	"DEU"	1.0	
2004	"DEU"	1.8	
2005	"DEU"	1.9	
2006	"DEU"	1.8	
2007	"DEU"	2.3	
2008	"DEU"	2.7	
2009	"DEU"	0.2	
2010	"DEU"	1.2	
2011	"DEU"	2.5	
2012	"DEU"	2.1	
2013	"DEU"	1.6	
2014	"DEU"	0.9	
2015	"DEU"		
1890	"ITA"	2.8	
1891	"ITA"	0.0	
1892	"ITA"	-0.9	
1893	"ITA"	-1.9	
1894	"ITA"	0.0	
1895	"ITA"	-0.9	
1896	"ITA"	0.0	
1897	"ITA"	0.0	
1898	"ITA"	0.0	
1899	"ITA"	-1.9	
1900	"ITA"	1.0	
1901	"ITA"	0.0	
1902	"ITA"	0.0	
1903	"ITA"	1.9	
1904	"ITA"	0.9	
1905	"ITA"	0.9	
1906	"ITA"	0.9	
1907	"ITA"	5.5	
1908	"ITA"	-0.9	
1909	"ITA"	-2.6	
1910	"ITA"	2.7	
1911	"ITA"	1.8	
1912	"ITA"	1.7	
1913	"ITA"	0.0	
1914	"ITA"	0.0	
1915	"ITA"	8.5	
1916	"ITA"	25.0	
1917	"ITA"	43.8	
1918	"ITA"	37.0	
1919	"ITA"	1.9	
1920	"ITA"	56.7	
1921	"ITA"	11.9	
1922	"ITA"	19.2	
1923	"ITA"	-1.0	
1924	"ITA"	14.8	
1925	"ITA"	13.4	
1926	"ITA"	1.2	
1927	"ITA"	-19.1	
1928	"ITA"	1.3	
1929	"ITA"	2.1	
1930	"ITA"	-11.2	
1931	"ITA"	-3.7	
1932	"ITA"	-1.9	
1933	"ITA"	-3.4	
1934	"ITA"	-6.6	
1935	"ITA"	8.3	
1936	"ITA"	5.3	
1937	"ITA"	14.4	
1938	"ITA"	1.7	
1939	"ITA"	3.1	
1940	"ITA"	17.3	
1941	"ITA"	15.5	
1942	"ITA"	15.7	
1943	"ITA"	67.4	
1944	"ITA"	491.4	
1945	"ITA"	96.2	
1946	"ITA"	32.2	
1947	"ITA"	44.3	
1948	"ITA"	-0.2	
1949	"ITA"	-3.3	
1950	"ITA"	5.4	
1951	"ITA"	11.3	
1952	"ITA"	2.7	
1953	"ITA"	1.1	
1954	"ITA"	2.9	
1955	"ITA"	2.1	
1956	"ITA"	3.2	
1957	"ITA"	1.6	
1958	"ITA"	1.8	
1959	"ITA"	0.9	
1960	"ITA"	1.7	
1961	"ITA"	2.4	
1962	"ITA"	5.8	
1963	"ITA"	6.8	
1964	"ITA"	6.0	
1965	"ITA"	3.8	
1966	"ITA"	1.6	
1967	"ITA"	1.7	
1968	"ITA"	1.1	
1969	"ITA"	3.3	
1970	"ITA"	5.4	
1971	"ITA"	4.8	
1972	"ITA"	6.8	
1973	"ITA"	11.5	
1974	"ITA"	21.9	
1975	"ITA"	14.0	
1976	"ITA"	19.3	
1977	"ITA"	16.3	
1978	"ITA"	11.7	
1979	"ITA"	16.8	
1980	"ITA"	21.3	
1981	"ITA"	19.5	
1982	"ITA"	16.5	
1983	"ITA"	14.6	
1984	"ITA"	10.9	
1985	"ITA"	9.1	
1986	"ITA"	5.8	
1987	"ITA"	4.4	
1988	"ITA"	5.4	
1989	"ITA"	6.3	
1990	"ITA"	6.4	
1991	"ITA"	6.2	
1992	"ITA"	5.0	
1993	"ITA"	4.5	
1994	"ITA"	4.2	
1995	"ITA"	5.4	
1996	"ITA"	4.0	
1997	"ITA"	1.9	
1998	"ITA"	2.0	
1999	"ITA"	1.7	
2000	"ITA"	2.6	
2001	"ITA"	2.3	
2002	"ITA"	2.6	
2003	"ITA"	2.8	
2004	"ITA"	2.3	
2005	"ITA"	2.2	
2006	"ITA"	2.2	
2007	"ITA"	2.0	
2008	"ITA"	3.5	
2009	"ITA"	0.8	
2010	"ITA"	1.6	
2011	"ITA"	2.9	
2012	"ITA"	3.3	
2013	"ITA"	1.3	
2014	"ITA"	0.1	
2015	"ITA"		
1890	"FRA"	0.0	
1891	"FRA"	1.1	
1892	"FRA"	-1.1	
1893	"FRA"	-1.1	
1894	"FRA"	1.1	
1895	"FRA"	-1.1	
1896	"FRA"	0.0	
1897	"FRA"	-2.2	
1898	"FRA"	1.1	
1899	"FRA"	0.0	
1900	"FRA"	1.1	
1901	"FRA"	0.0	
1902	"FRA"	0.0	
1903	"FRA"	-1.1	
1904	"FRA"	0.0	
1905	"FRA"	0.0	
1906	"FRA"	1.1	
1907	"FRA"	1.1	
1908	"FRA"	1.1	
1909	"FRA"	0.0	
1910	"FRA"	1.1	
1911	"FRA"	4.3	
1912	"FRA"	0.0	
1913	"FRA"	0.0	
1914	"FRA"	2.0	
1915	"FRA"	17.6	
1916	"FRA"	15.0	
1917	"FRA"	17.4	
1918	"FRA"	29.6	
1919	"FRA"	25.7	
1920	"FRA"	38.6	
1921	"FRA"	-13.1	
1922	"FRA"	-3.8	
1923	"FRA"	11.8	
1924	"FRA"	14.0	
1925	"FRA"	6.2	
1926	"FRA"	30.4	
1927	"FRA"	4.4	
1928	"FRA"	0.0	
1929	"FRA"	6.4	
1930	"FRA"	1.0	
1931	"FRA"	-4.0	
1932	"FRA"	-9.3	
1933	"FRA"	-3.4	
1934	"FRA"	-3.5	
1935	"FRA"	-8.5	
1936	"FRA"	6.7	
1937	"FRA"	26.3	
1938	"FRA"	13.9	
1939	"FRA"	6.1	
1940	"FRA"	18.9	
1941	"FRA"		
1942	"FRA"		
1943	"FRA"		
1944	"FRA"		
1945	"FRA"		
1946	"FRA"		
1947	"FRA"		
1948	"FRA"		
1949	"FRA"		
1950	"FRA"		
1951	"FRA"		
1952	"FRA"		
1953	"FRA"		
1954	"FRA"		
1955	"FRA"		
1956	"FRA"		
1957	"FRA"		
1958	"FRA"		
1959	"FRA"		
1960	"FRA"		
1961	"FRA"		
1962	"FRA"		
1963	"FRA"		
1964	"FRA"		
1965	"FRA"		
1966	"FRA"		
1967	"FRA"		
1968	"FRA"		
1969	"FRA"		
1970	"FRA"		
1971	"FRA"		
1972	"FRA"		
1973	"FRA"		
1974	"FRA"		
1975	"FRA"		
1976	"FRA"		
1977	"FRA"		
1978	"FRA"		
1979	"FRA"		
1980	"FRA"		
1981	"FRA"		
1982	"FRA"		
1983	"FRA"		
1984	"FRA"		
1985	"FRA"		
1986	"FRA"		
1987	"FRA"		
1988	"FRA"		
1989	"FRA"		
1990	"FRA"		
1991	"FRA"		
1992	"FRA"		
1993	"FRA"		
1994	"FRA"		
1995	"FRA"		
1996	"FRA"		
1997	"FRA"		
1998	"FRA"		
1999	"FRA"		
2000	"FRA"		
2001	"FRA"		
2002	"FRA"		
2003	"FRA"		
2004	"FRA"		
2005	"FRA"		
2006	"FRA"		
2007	"FRA"		
2008	"FRA"		
2009	"FRA"		
2010	"FRA"		
2011	"FRA"		
2012	"FRA"		
2013	"FRA"		
2014	"FRA"		
2015	"FRA"		
